Key pressed,Key released,Time,Hold Time,Consecutive Press Release
1,None,1.15,,
2,None,1.32,,
None,1,1.44,0.29000000000000004,0.11999999999999988
3,None,1.46,,
None,2,1.55,0.22999999999999998,0.09000000000000008
None,3,1.67,0.20999999999999996,0.20999999999999996
Key.shift,None,2.3,,
C,None,2.5,,
None,C,2.63,0.1299999999999999,0.1299999999999999
A,None,2.79,,
None,A,2.97,0.18000000000000016,0.18000000000000016
P,None,3.07,,
None,Key.shift,3.32,1.02,0.25
None,p,3.47,0.40000000000000036,0.40000000000000036
a,None,4.18,,
None,a,4.3,0.1200000000000001,0.1200000000000001
b,None,4.36,,
None,b,4.45,0.08999999999999986,0.08999999999999986
c,None,4.5,,
None,c,4.62,0.1200000000000001,0.1200000000000001
Key.shift,None,4.88,,
!,None,5.06,,
None,Key.shift,5.16,0.28000000000000025,0.10000000000000053
None,1,5.23,0.17000000000000082,0.17000000000000082
Key.enter,None,5.97,,
None,Key.enter,6.09,0.1200000000000001,0.1200000000000001
1,None,6.75,,
2,None,6.93,,
None,1,7.0,0.25,0.07000000000000028
3,None,7.02,,
None,2,7.09,0.16000000000000014,0.07000000000000028
None,3,7.17,0.15000000000000036,0.15000000000000036
Key.shift,None,7.63,,
C,None,7.77,,
A,None,7.93,,
None,C,7.93,0.16000000000000014,0.0
None,A,8.06,0.13000000000000078,0.13000000000000078
P,None,8.11,,
None,Key.shift,8.27,0.6399999999999997,0.16000000000000014
None,p,8.3,0.19000000000000128,0.19000000000000128
a,None,9.0,,
None,a,9.12,0.11999999999999922,0.11999999999999922
b,None,9.21,,
None,b,9.32,0.10999999999999943,0.10999999999999943
c,None,9.37,,
None,c,9.46,0.09000000000000163,0.09000000000000163
Key.shift,None,9.87,,
!,None,10.06,,
None,Key.shift,10.19,0.3200000000000003,0.129999999999999
None,1,10.21,0.15000000000000036,0.15000000000000036
Key.enter,None,10.41,,
None,Key.enter,10.53,0.11999999999999922,0.11999999999999922
1,None,11.14,,
2,None,11.32,,
None,1,11.42,0.27999999999999936,0.09999999999999964
3,None,11.43,,
None,2,11.51,0.1899999999999995,0.08000000000000007
None,3,11.6,0.16999999999999993,0.16999999999999993
Key.shift,None,12.53,,
C,None,12.83,,
None,C,12.92,0.08999999999999986,0.08999999999999986
A,None,13.0,,
None,A,13.12,0.11999999999999922,0.11999999999999922
P,None,13.16,,
None,P,13.31,0.15000000000000036,0.15000000000000036
None,Key.shift,13.47,0.9400000000000013,0.3100000000000005
a,None,14.26,,
None,a,14.41,0.15000000000000036,0.15000000000000036
b,None,14.64,,
None,b,14.77,0.129999999999999,0.129999999999999
c,None,14.82,,
None,c,14.92,0.09999999999999964,0.09999999999999964
Key.shift,None,15.25,,
!,None,15.47,,
None,!,15.63,0.16000000000000014,0.16000000000000014
None,Key.shift,15.63,0.3800000000000008,0.16000000000000014
Key.enter,None,15.91,,
None,Key.enter,16.01,0.10000000000000142,0.10000000000000142
1,None,16.57,,
2,None,16.71,,
None,1,16.86,0.28999999999999915,0.14999999999999858
3,None,16.88,,
None,2,16.94,0.23000000000000043,0.060000000000002274
None,3,17.04,0.16000000000000014,0.16000000000000014
Key.shift,None,17.48,,
C,None,17.71,,
None,C,17.84,0.129999999999999,0.129999999999999
A,None,17.84,,
None,A,17.99,0.14999999999999858,0.14999999999999858
P,None,18.14,,
None,P,18.24,0.09999999999999787,0.09999999999999787
None,Key.shift,18.66,1.1799999999999997,0.5199999999999996
a,None,19.02,,
None,a,19.18,0.16000000000000014,0.16000000000000014
b,None,19.29,,
None,b,19.42,0.13000000000000256,0.13000000000000256
c,None,19.54,,
None,c,19.67,0.13000000000000256,0.13000000000000256
Key.shift,None,20.09,,
!,None,20.42,,
None,Key.shift,20.54,0.4499999999999993,0.11999999999999744
None,1,20.63,0.2099999999999973,0.2099999999999973
Key.enter,None,21.25,,
None,Key.enter,21.34,0.08999999999999986,0.08999999999999986
1,None,21.97,,
2,None,22.13,,
None,1,22.24,0.2699999999999996,0.10999999999999943
3,None,22.24,,
None,2,22.32,0.19000000000000128,0.08000000000000185
None,3,22.39,0.15000000000000213,0.15000000000000213
Key.shift,None,22.83,,
C,None,22.98,,
None,C,23.16,0.17999999999999972,0.17999999999999972
A,None,23.2,,
None,A,23.32,0.120000000000001,0.120000000000001
P,None,23.43,,
None,P,23.56,0.129999999999999,0.129999999999999
None,Key.shift,23.69,0.860000000000003,0.26000000000000156
a,None,23.98,,
None,a,24.13,0.14999999999999858,0.14999999999999858
b,None,24.24,,
None,b,24.39,0.15000000000000213,0.15000000000000213
c,None,24.46,,
None,c,24.6,0.14000000000000057,0.14000000000000057
Key.shift,None,24.95,,
!,None,25.24,,
None,Key.shift,25.36,0.41000000000000014,0.120000000000001
None,1,25.46,0.22000000000000242,0.22000000000000242
Key.enter,None,26.08,,
None,Key.enter,26.2,0.120000000000001,0.120000000000001
1,None,26.79,,
2,None,26.89,,
None,1,26.92,0.13000000000000256,0.030000000000001137
None,2,27.03,0.14000000000000057,0.14000000000000057
3,None,27.17,,
None,3,27.28,0.10999999999999943,0.10999999999999943
Key.shift,None,27.62,,
C,None,27.78,,
A,None,27.93,,
None,C,27.93,0.14999999999999858,0.0
None,A,28.06,0.129999999999999,0.129999999999999
P,None,28.13,,
None,P,28.24,0.10999999999999943,0.10999999999999943
None,Key.shift,28.45,0.8299999999999983,0.3200000000000003
a,None,28.9,,
None,a,29.07,0.1700000000000017,0.1700000000000017
b,None,29.13,,
None,b,29.25,0.120000000000001,0.120000000000001
c,None,29.34,,
None,c,29.47,0.129999999999999,0.129999999999999
Key.shift,None,29.87,,
!,None,30.11,,
None,Key.shift,30.24,0.36999999999999744,0.129999999999999
None,1,30.24,0.129999999999999,0.129999999999999
Key.enter,None,30.48,,
None,Key.enter,30.59,0.10999999999999943,0.10999999999999943
1,None,30.85,,
2,None,30.97,,
None,1,31.04,0.18999999999999773,0.07000000000000028
None,2,31.1,0.13000000000000256,0.13000000000000256
3,None,31.27,,
None,3,31.38,0.10999999999999943,0.10999999999999943
Key.shift,None,31.78,,
C,None,31.91,,
None,C,32.05,0.13999999999999702,0.13999999999999702
A,None,32.07,,
None,A,32.19,0.11999999999999744,0.11999999999999744
P,None,32.3,,
None,P,32.42,0.12000000000000455,0.12000000000000455
None,Key.shift,32.56,0.7800000000000011,0.2600000000000051
a,None,32.97,,
None,a,33.1,0.13000000000000256,0.13000000000000256
b,None,33.16,,
None,b,33.29,0.13000000000000256,0.13000000000000256
c,None,33.33,,
None,c,33.42,0.09000000000000341,0.09000000000000341
Key.shift,None,33.77,,
!,None,34.14,,
None,Key.shift,34.29,0.519999999999996,0.14999999999999858
None,1,34.35,0.21000000000000085,0.21000000000000085
Key.enter,None,34.9,,
None,Key.enter,35.01,0.10999999999999943,0.10999999999999943
1,None,35.59,,
2,None,35.72,,
None,1,35.76,0.1699999999999946,0.03999999999999915
None,2,35.86,0.14000000000000057,0.14000000000000057
3,None,36.0,,
None,3,36.08,0.0799999999999983,0.0799999999999983
Key.shift,None,36.53,,
C,None,36.67,,
None,C,36.79,0.11999999999999744,0.11999999999999744
A,None,36.86,,
None,A,36.98,0.11999999999999744,0.11999999999999744
P,None,37.03,,
None,P,37.14,0.10999999999999943,0.10999999999999943
None,Key.shift,37.22,0.6899999999999977,0.18999999999999773
a,None,37.43,,
None,a,37.6,0.1700000000000017,0.1700000000000017
b,None,37.79,,
None,b,37.91,0.11999999999999744,0.11999999999999744
c,None,37.96,,
None,c,38.06,0.10000000000000142,0.10000000000000142
Key.shift,None,38.39,,
!,None,38.56,,
None,Key.shift,38.65,0.259999999999998,0.0899999999999963
None,1,38.72,0.1599999999999966,0.1599999999999966
Key.enter,None,39.4,,
None,Key.enter,39.48,0.0799999999999983,0.0799999999999983
1,None,40.44,,
2,None,40.6,,
None,1,40.65,0.21000000000000085,0.04999999999999716
3,None,40.65,,
None,2,40.72,0.11999999999999744,0.07000000000000028
None,3,40.81,0.1600000000000037,0.1600000000000037
Key.shift,None,41.17,,
C,None,41.35,,
None,C,41.45,0.10000000000000142,0.10000000000000142
A,None,41.47,,
None,A,41.58,0.10999999999999943,0.10999999999999943
P,None,41.64,,
None,Key.shift,41.69,0.519999999999996,0.04999999999999716
None,p,41.73,0.0899999999999963,0.0899999999999963
a,None,42.03,,
None,a,42.16,0.12999999999999545,0.12999999999999545
b,None,42.23,,
None,b,42.34,0.11000000000000654,0.11000000000000654
c,None,42.38,,
None,c,42.5,0.11999999999999744,0.11999999999999744
Key.shift,None,43.07,,
!,None,43.28,,
None,Key.shift,43.38,0.3100000000000023,0.10000000000000142
None,1,43.44,0.1599999999999966,0.1599999999999966
Key.enter,None,44.22,,
None,Key.enter,44.32,0.10000000000000142,0.10000000000000142
1,None,45.03,,
2,None,45.18,,
None,1,45.29,0.259999999999998,0.10999999999999943
3,None,45.31,,
None,2,45.39,0.21000000000000085,0.0799999999999983
None,3,45.48,0.1699999999999946,0.1699999999999946
Key.shift,None,46.11,,
C,None,46.27,,
None,C,46.44,0.1699999999999946,0.1699999999999946
A,None,46.47,,
None,A,46.57,0.10000000000000142,0.10000000000000142
P,None,46.64,,
None,P,46.74,0.10000000000000142,0.10000000000000142
None,Key.shift,46.94,0.8299999999999983,0.29999999999999716
a,None,47.79,,
None,a,47.95,0.1600000000000037,0.1600000000000037
b,None,48.0,,
None,b,48.16,0.1599999999999966,0.1599999999999966
c,None,48.31,,
None,c,48.43,0.11999999999999744,0.11999999999999744
Key.shift,None,49.0,,
!,None,49.43,,
None,!,49.56,0.13000000000000256,0.13000000000000256
None,Key.shift,49.58,0.5799999999999983,0.14999999999999858
Key.enter,None,50.42,,
None,Key.enter,50.53,0.10999999999999943,0.10999999999999943
a,None,53.37,,
None,a,53.61,0.240000000000002,0.240000000000002
b,None,54.44,,
None,b,54.74,0.30000000000000426,0.30000000000000426
c,None,56.36,,
Key.shift,None,56.6,,
C,None,56.87,,
None,C,56.88,0.010000000000005116,0.010000000000005116
None,Key.shift,57.11,0.509999999999998,0.240000000000002
a,None,58.26,,
None,a,58.43,0.1700000000000017,0.1700000000000017
b,None,58.98,,
None,b,59.15,0.1700000000000017,0.1700000000000017
c,None,60.5,,
Key.shift,None,60.61,,
None,C,60.73,0.22999999999999687,0.11999999999999744
None,Key.shift,60.76,0.14999999999999858,0.14999999999999858
c,None,61.81,,
Key.shift,None,61.92,,
None,C,62.04,0.22999999999999687,0.11999999999999744
None,Key.shift,62.08,0.1599999999999966,0.1599999999999966
c,None,64.26,,
Key.shift,None,64.44,,
None,C,64.57,0.30999999999998806,0.12999999999999545
None,Key.shift,64.81,0.37000000000000455,0.37000000000000455
